Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
QCOM,QUALCOMM INC,Information Technology,Equity,"260,310,238.48",0.22,"260,310,238.48","1,674,667.00",155.44,United States,NASDAQ,USD
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"258,849,163.80",0.22,"258,849,163.80","538,764.00",480.45,United States,NASDAQ,USD
ALV,ALLIANZ,Financials,Equity,"257,459,488.72",0.22,"257,459,488.72","587,880.00",437.95,Germany,Xetra,EUR
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,"255,716,045.93",0.22,"255,716,045.93","1,861,102.00",137.40,Canada,Toronto Stock Exchange,CAD
BA,BOEING,Industrials,Equity,"253,236,790.48",0.21,"253,236,790.48","1,122,404.00",225.62,United States,New York Stock Exchange Inc.,USD
GEV,GE VERNOVA INC,Industrials,Equity,"250,020,939.42",0.21,"250,020,939.42","413,538.00",604.59,United States,New York Stock Exchange Inc.,USD
BLK,BLACKROCK INC,Financials,Equity,"249,648,077.34",0.21,"249,648,077.34","221,229.00","1,128.46",United States,New York Stock Exchange Inc.,USD
USD,USD CASH,Cash and/or Derivatives,Cash,"248,577,994.82",0.21,"248,577,994.82","248,577,995.00",100.00,United States,-,USD
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"246,793,828.58",0.21,"246,793,828.58","2,583,958.00",95.51,United States,New York Stock Exchange Inc.,USD
AMGN,AMGEN INC,Health Care,Equity,"242,397,382.15",0.21,"242,397,382.15","817,667.00",296.45,United States,NASDAQ,USD
ULVR,UNILEVER PLC,Consumer Staples,Equity,"240,678,092.22",0.2,"240,678,092.22","3,807,275.00",63.21,United Kingdom,London Stock Exchange,GBP
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"239,010,187.50",0.2,"239,010,187.50","2,253,750.00",106.05,United States,New York Stock Exchange Inc.,USD
NEE,NEXTERA ENERGY INC,Utilities,Equity,"238,628,060.32",0.2,"238,628,060.32","3,132,424.00",76.18,United States,New York Stock Exchange Inc.,USD
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"238,393,704.70",0.2,"238,393,704.70","934,694.00",255.05,United States,New York Stock Exchange Inc.,USD
MC,LVMH,Consumer Discretionary,Equity,"236,214,445.50",0.2,"236,214,445.50","410,360.00",575.63,France,Nyse Euronext - Euronext Paris,EUR
ICSUAGD,BLK ICS USD LIQ AGENCY DIS,Cash and/or Derivatives,Money Market,"233,793,456.38",0.2,"233,793,456.38","233,793,456.00",1.00,Ireland,-,USD
TJX,TJX INC,Consumer Discretionary,Equity,"233,465,299.98",0.2,"233,465,299.98","1,688,474.00",138.27,United States,New York Stock Exchange Inc.,USD
ADBE,ADOBE INC,Information Technology,Equity,"227,982,848.94",0.19,"227,982,848.94","645,058.00",353.43,United States,NASDAQ,USD
GILD,GILEAD SCIENCES INC,Health Care,Equity,"224,555,711.22",0.19,"224,555,711.22","1,891,314.00",118.73,United States,NASDAQ,USD
PGR,PROGRESSIVE CORP,Financials,Equity,"224,208,775.64",0.19,"224,208,775.64","887,323.00",252.68,United States,New York Stock Exchange Inc.,USD
SAN,BANCO SANTANDER SA,Financials,Equity,"220,430,857.82",0.19,"220,430,857.82","23,122,111.00",9.53,Spain,Bolsa De Madrid,EUR
PFE,PFIZER INC,Health Care,Equity,"219,817,195.20",0.19,"219,817,195.20","8,661,040.00",25.38,United States,New York Stock Exchange Inc.,USD
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"216,370,710.14",0.18,"216,370,710.14","841,451.00",257.14,United States,New York Stock Exchange Inc.,USD
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"214,489,310.00",0.18,"214,489,310.00","988,430.00",217.00,United States,NASDAQ,USD
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"213,867,376.33",0.18,"213,867,376.33","1,626,739.00",131.47,United States,New York Stock Exchange Inc.,USD
SU,SCHNEIDER ELECTRIC,Industrials,Equity,"209,539,542.41",0.18,"209,539,542.41","833,504.00",251.40,France,Nyse Euronext - Euronext Paris,EUR
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"206,250,426.00",0.17,"206,250,426.00","960,600.00",214.71,United States,New York Stock Exchange Inc.,USD
