Al,"22/08/2025"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"RBLX","ROBLOX CORP CLASS A","Comunicazione","Azionario","8.736.201,76","0,27","8.736.201,76","74.338,00","117,52","Stati Uniti","New York Stock Exchange Inc.","USD"
"TRP","TC ENERGY CORP","Energia","Azionario","8.637.656,29","0,26","8.637.656,29","168.782,00","51,18","Canada","Toronto Stock Exchange","CAD"
"COR","CENCORA INC","Salute","Azionario","8.614.436,60","0,26","8.614.436,60","29.441,00","292,60","Stati Uniti","New York Stock Exchange Inc.","USD"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Finanziari","Azionario","8.494.061,79","0,26","8.494.061,79","66.362,00","128,00","Regno unito","London Stock Exchange","GBP"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Finanziari","Azionario","8.224.248,47","0,25","8.224.248,47","112.407,00","73,16","Canada","Toronto Stock Exchange","CAD"
"TT","TRANE TECHNOLOGIES PLC","Industriali","Azionario","8.173.023,81","0,25","8.173.023,81","19.271,00","424,11","Stati Uniti","New York Stock Exchange Inc.","USD"
"FTNT","FORTINET INC","IT","Azionario","8.084.420,60","0,25","8.084.420,60","101.030,00","80,02","Stati Uniti","NASDAQ","USD"
"CTAS","CINTAS CORP","Industriali","Azionario","7.881.108,04","0,24","7.881.108,04","36.556,00","215,59","Stati Uniti","NASDAQ","USD"
"LNG","CHENIERE ENERGY INC","Energia","Azionario","7.738.517,00","0,24","7.738.517,00","32.575,00","237,56","Stati Uniti","New York Stock Exchange Inc.","USD"
"WPM","WHEATON PRECIOUS METALS CORP","Materiali","Azionario","7.714.276,97","0,24","7.714.276,97","80.753,00","95,53","Canada","Toronto Stock Exchange","CAD"
"KR","KROGER","Generi di largo consumo","Azionario","7.639.218,32","0,23","7.639.218,32","109.822,00","69,56","Stati Uniti","New York Stock Exchange Inc.","USD"
"TDG","TRANSDIGM GROUP INC","Industriali","Azionario","7.635.261,66","0,23","7.635.261,66","5.421,00","1.408,46","Stati Uniti","New York Stock Exchange Inc.","USD"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industriali","Azionario","7.564.618,76","0,23","7.564.618,76","70.526,00","107,26","Stati Uniti","New York Stock Exchange Inc.","USD"
"DOL","DOLLARAMA INC","Consumi Discrezionali","Azionario","7.403.329,50","0,23","7.403.329,50","52.972,00","139,76","Canada","Toronto Stock Exchange","CAD"
"8766","TOKIO MARINE HOLDINGS INC","Finanziari","Azionario","7.284.493,55","0,22","7.284.493,55","162.900,00","44,72","Giappone","Tokyo Stock Exchange","JPY"
