Fund Holdings as of,"21/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"000270","KIA CORPORATION CORP","Consumer Discretionary","Equity","47,625,563.72","0.17","47,625,563.72","640,997.00","74.30","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ETERNAL","ETERNAL LTD","Consumer Discretionary","Equity","47,349,331.29","0.17","47,349,331.29","12,839,629.00","3.69","India","National Stock Exchange Of India","INR"
"AMXB","AMERICA MOVIL B","Communication","Equity","47,126,521.74","0.17","47,126,521.74","48,631,484.00","0.97","Mexico","Bolsa Mexicana De Valores","MXN"
"CPI","CAPITEC LTD","Financials","Equity","47,064,639.83","0.17","47,064,639.83","229,859.00","204.75","South Africa","Johannesburg Stock Exchange","ZAR"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","46,911,381.61","0.16","46,911,381.61","184,084,783.00","0.25","Indonesia","Indonesia Stock Exchange","IDR"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","46,358,128.81","0.16","46,358,128.81","314,320.00","147.49","India","National Stock Exchange Of India","INR"
"EAND","EMIRATES TELECOM","Communication","Equity","46,270,521.50","0.16","46,270,521.50","9,431,021.00","4.91","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"1211","SAUDI ARABIAN MINING","Materials","Equity","45,902,732.37","0.16","45,902,732.37","3,241,087.00","14.16","Saudi Arabia","Saudi Stock Exchange","SAR"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","45,807,043.71","0.16","45,807,043.71","10,164,000.00","4.51","Taiwan","Taiwan Stock Exchange","TWD"
"BAP","CREDICORP LTD","Financials","Equity","45,476,021.00","0.16","45,476,021.00","181,100.00","251.11","Peru","New York Stock Exchange Inc.","USD"
"NTPC","NTPC LTD","Utilities","Equity","45,258,512.93","0.16","45,258,512.93","11,656,859.00","3.88","India","National Stock Exchange Of India","INR"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","45,067,508.44","0.16","45,067,508.44","760,222.00","59.28","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","44,900,768.61","0.16","44,900,768.61","1,442,000.00","31.14","Taiwan","Taiwan Stock Exchange","TWD"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","44,419,692.06","0.16","44,419,692.06","985,134.00","45.09","China","New York Stock Exchange Inc.","USD"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Equity","43,537,879.43","0.15","43,537,879.43","39,357,598.00","1.11","Taiwan","Taiwan Stock Exchange","TWD"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","43,537,046.72","0.15","43,537,046.72","14,179,790.00","3.07","Mexico","Bolsa Mexicana De Valores","MXN"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","43,510,636.17","0.15","43,510,636.17","3,420,400.00","12.72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","43,424,526.70","0.15","43,424,526.70","2,537,199.00","17.12","India","National Stock Exchange Of India","INR"
