Fund Holdings as of,"21/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"7974","NINTENDO LTD","Communication","Equity","25,741,636.01","0.11","25,741,636.01","278,700.00","92.36","Japan","Tokyo Stock Exchange","JPY"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","25,585,074.84","0.11","25,585,074.84","81,867.00","312.52","United States","NASDAQ","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","25,522,531.23","0.11","25,522,531.23","142,401.00","179.23","United States","New York Stock Exchange Inc.","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","25,412,284.71","0.11","25,412,284.71","247,033.00","102.87","United States","NASDAQ","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","25,382,689.53","0.11","25,382,689.53","73,029.00","347.57","United States","NASDAQ","USD"
"BNP","BNP PARIBAS SA","Financials","Equity","25,334,093.08","0.11","25,334,093.08","263,645.00","96.09","France","Nyse Euronext - Euronext Paris","EUR"
"DUK","DUKE ENERGY CORP","Utilities","Equity","25,269,069.42","0.11","25,269,069.42","203,553.00","124.14","United States","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","25,175,124.00","0.11","25,175,124.00","56,295.00","447.20","United States","New York Stock Exchange Inc.","USD"
"000660","SK HYNIX INC","Information Technology","Equity","25,029,279.89","0.11","25,029,279.89","142,861.00","175.20","Korea (South)","Korea Exchange (Stock Market)","KRW"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","24,952,356.57","0.11","24,952,356.57","59,091.00","422.27","United States","New York Stock Exchange Inc.","USD"
"CME","CME GROUP INC CLASS A","Financials","Equity","24,793,403.84","0.11","24,793,403.84","90,712.00","273.32","United States","NASDAQ","USD"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","24,575,642.34","0.11","24,575,642.34","3,639,760.00","6.75","Taiwan","Taiwan Stock Exchange","TWD"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","24,346,696.35","0.11","24,346,696.35","106,035.00","229.61","United States","New York Stock Exchange Inc.","USD"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","24,200,862.61","0.11","24,200,862.61","377,534.00","64.10","Canada","Toronto Stock Exchange","CAD"
"CS","AXA SA","Financials","Equity","24,183,517.96","0.11","24,183,517.96","483,583.00","50.01","France","Nyse Euronext - Euronext Paris","EUR"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","23,925,014.62","0.11","23,925,014.62","314,059.00","76.18","United States","New York Stock Exchange Inc.","USD"
"9984","SOFTBANK GROUP CORP","Communication","Equity","23,889,137.11","0.11","23,889,137.11","242,600.00","98.47","Japan","Tokyo Stock Exchange","JPY"
"MCK","MCKESSON CORP","Health Care","Equity","23,875,508.00","0.11","23,875,508.00","33,818.00","706.00","United States","New York Stock Exchange Inc.","USD"
"EL","ESSILORLUXOTTICA SA","Health Care","Equity","23,778,863.98","0.10","23,778,863.98","75,257.00","315.97","France","Nyse Euronext - Euronext Paris","EUR"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","23,751,076.96","0.10","23,751,076.96","96,872.00","245.18","United States","NASDAQ","USD"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","23,454,667.80","0.10","23,454,667.80","31,996.00","733.05","United States","New York Stock Exchange Inc.","USD"
"REL","RELX PLC","Industrials","Equity","23,229,161.43","0.10","23,229,161.43","480,547.00","48.34","United Kingdom","London Stock Exchange","GBP"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","23,040,652.93","0.10","23,040,652.93","139,096.00","165.65","Switzerland","SIX Swiss Exchange","CHF"
"SHW","SHERWIN WILLIAMS","Materials","Equity","22,560,411.58","0.10","22,560,411.58","62,003.00","363.86","United States","New York Stock Exchange Inc.","USD"
"BP.","BP PLC","Energy","Equity","22,551,009.23","0.10","22,551,009.23","4,003,491.00","5.63","United Kingdom","London Stock Exchange","GBP"
"ISP","INTESA SANPAOLO","Financials","Equity","22,535,325.55","0.10","22,535,325.55","3,458,622.00","6.52","Italy","Borsa Italiana","EUR"
