Fund Holdings as of,"22/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","9,983,667.09","0.25","9,983,667.09","532,256.00","18.76","India","National Stock Exchange Of India","INR"
"000270","KIA CORPORATION CORP","Consumer Discretionary","Equity","9,932,667.42","0.25","9,932,667.42","132,036.00","75.23","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ETERNAL","ETERNAL LTD","Consumer Discretionary","Equity","9,873,859.86","0.24","9,873,859.86","2,708,388.00","3.65","India","National Stock Exchange Of India","INR"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","9,579,926.70","0.24","9,579,926.70","208,713.00","45.90","China","New York Stock Exchange Inc.","USD"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","9,459,617.86","0.23","9,459,617.86","37,700,038.00","0.25","Indonesia","Indonesia Stock Exchange","IDR"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","9,421,298.57","0.23","9,421,298.57","2,120,000.00","4.44","Taiwan","Taiwan Stock Exchange","TWD"
"NTPC","NTPC LTD","Utilities","Equity","9,315,224.22","0.23","9,315,224.22","2,419,436.00","3.85","India","National Stock Exchange Of India","INR"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","9,309,217.64","0.23","9,309,217.64","157,580.00","59.08","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","9,232,832.25","0.23","9,232,832.25","64,194.00","143.83","India","National Stock Exchange Of India","INR"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Equity","9,162,895.92","0.23","9,162,895.92","3,878,496.00","2.36","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","9,118,680.55","0.23","9,118,680.55","3,114,141.00","2.93","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","9,106,052.95","0.23","9,106,052.95","221,659.00","41.08","India","National Stock Exchange Of India","INR"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","9,051,293.86","0.22","9,051,293.86","690,000.00","13.12","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Equity","8,923,334.99","0.22","8,923,334.99","8,115,329.00","1.10","Taiwan","Taiwan Stock Exchange","TWD"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","8,804,576.27","0.22","8,804,576.27","525,577.00","16.75","India","National Stock Exchange Of India","INR"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","8,801,318.25","0.22","8,801,318.25","6,561,431.00","1.34","Taiwan","Taiwan Stock Exchange","TWD"
"1801","INNOVENT BIOLOGICS INC","Health Care","Equity","8,743,780.23","0.22","8,743,780.23","687,000.00","12.73","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TATAMOTORS","TATA MOTORS LTD","Consumer Discretionary","Equity","8,729,944.43","0.22","8,729,944.43","1,123,212.00","7.77","India","National Stock Exchange Of India","INR"
"BEL","BHARAT ELECTRONICS LTD","Industrials","Equity","8,727,380.36","0.22","8,727,380.36","2,037,873.00","4.28","India","National Stock Exchange Of India","INR"
"005490","POSCO","Materials","Equity","8,661,580.95","0.21","8,661,580.95","40,222.00","215.34","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","8,583,570.24","0.21","8,583,570.24","423,000.00","20.29","Taiwan","Taiwan Stock Exchange","TWD"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","8,517,415.34","0.21","8,517,415.34","3,331,000.00","2.56","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","8,515,813.98","0.21","8,515,813.98","1,876,505.00","4.54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","8,508,673.61","0.21","8,508,673.61","1,814,571.00","4.69","Taiwan","Taiwan Stock Exchange","TWD"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","8,370,287.60","0.21","8,370,287.60","2,585,639.00","3.24","India","National Stock Exchange Of India","INR"
"PBBANK","PUBLIC BANK","Financials","Equity","8,353,533.89","0.21","8,353,533.89","7,900,350.00","1.06","Malaysia","Bursa Malaysia","MYR"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","8,324,020.52","0.21","8,324,020.52","271,000.00","30.72","Taiwan","Taiwan Stock Exchange","TWD"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","8,319,530.76","0.21","8,319,530.76","6,271,000.00","1.33","Taiwan","Taiwan Stock Exchange","TWD"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","8,179,653.95","0.20","8,179,653.95","1,941,500.00","4.21","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2015","LI AUTO CLASS A INC","Consumer Discretionary","Equity","8,151,996.66","0.20","8,151,996.66","690,494.00","11.81","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","8,126,950.62","0.20","8,126,950.62","196,449.00","41.37","India","National Stock Exchange Of India","INR"
"9868","XPENG CLASS A INC","Consumer Discretionary","Equity","8,035,563.44","0.20","8,035,563.44","683,224.00","11.76","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","8,006,769.80","0.20","8,006,769.80","1,731,000.00","4.63","Thailand","Stock Exchange Of Thailand","THB"
"035720","KAKAO CORP","Communication","Equity","7,843,049.28","0.19","7,843,049.28","171,797.00","45.65","Korea (South)","Korea Exchange (Stock Market)","KRW"
"CIMB","CIMB GROUP HOLDINGS","Financials","Equity","7,822,073.37","0.19","7,822,073.37","4,432,683.00","1.76","Malaysia","Bursa Malaysia","MYR"
"ITC","ITC LTD","Consumer Staples","Equity","7,533,055.87","0.19","7,533,055.87","1,655,433.00","4.55","India","National Stock Exchange Of India","INR"
"9926","AKESO INC","Health Care","Equity","7,516,291.69","0.19","7,516,291.69","332,000.00","22.64","China","Hong Kong Exchanges And Clearing Ltd","HKD"
