Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
GBP,GBP CASH,Liquidità e/o derivati,Contanti,"2.672.612,35",0.09,"2.672.612,35","2.315.625,00","115,42",Regno unito,-,GBP
PLN,PLN CASH,Liquidità e/o derivati,Contanti,"2.462.350,34",0.08,"2.462.350,34","10.476.101,00","23,50",Polonia,-,PLN
SGD,SGD CASH,Liquidità e/o derivati,Contanti,"2.435.241,25",0.08,"2.435.241,25","3.655.196,00","66,62",Singapore,-,SGD
MSIFT,CASH COLLATERAL EUR MSIFT,Liquidità e/o derivati,Cash Collateral and Margins,"1.976.000,00",0.06,"1.976.000,00","1.976.000,00","100,00",Unione Europea,-,EUR
AUD,AUD CASH,Liquidità e/o derivati,Contanti,"1.902.453,21",0.06,"1.902.453,21","3.433.382,00","55,41",Australia,-,AUD
HKD,HKD CASH,Liquidità e/o derivati,Contanti,"1.196.397,82",0.04,"1.196.397,82","10.954.471,00","10,92",Hong Kong,-,HKD
CAD,CAD CASH,Liquidità e/o derivati,Contanti,"824.280,12",0.03,"824.280,12","1.336.263,00","61,69",Canada,-,CAD
JPY,JPY CASH,Liquidità e/o derivati,Contanti,"485.340,22",0.02,"485.340,22","83.519.620,00","0,58",Giappone,-,JPY
NZD,NZD CASH,Liquidità e/o derivati,Contanti,"41.881,74",0.0,"41.881,74","83.642,00","50,07",Nuova Zelanda,-,NZD
CHF,CHF CASH,Liquidità e/o derivati,Contanti,"37.912,86",0.0,"37.912,86","35.610,00","106,47",Svizzera,-,CHF
SEK,SEK CASH,Liquidità e/o derivati,Contanti,"37.986,64",0.0,"37.986,64","423.189,00","8,98",Svezia,-,SEK
AUD,AUD/EUR,Liquidità e/o derivati,FX,"703,89",0.0,"703,89","788.379,00","1,00",Unione Europea,-,EUR
NOK,NOK/EUR,Liquidità e/o derivati,FX,"251,59",0.0,"251,59","721.978,00","1,00",Unione Europea,-,EUR
AUD,AUD/EUR,Liquidità e/o derivati,FX,"352,32",0.0,"352,32","394.602,00","1,00",Unione Europea,-,EUR
MARGIN_AUD,FUTURES AUD MARGIN BALANCE,Liquidità e/o derivati,Cash Collateral and Margins,"0,00",0.0,"0,00","0,00","0,00",Australia,-,AUD
MARGIN_EUR,FUTURES EUR MARGIN BALANCE,Liquidità e/o derivati,Cash Collateral and Margins,"0,00",0.0,"0,00","0,00","100,00",Unione Europea,-,EUR
MARGIN_USD,FUTURES USD MARGIN BALANCE,Liquidità e/o derivati,Cash Collateral and Margins,"0,00",0.0,"0,00","0,00","85,34",Stati Uniti,-,USD
SGD,SGD/EUR,Liquidità e/o derivati,FX,"-132,84",0.0,"-132,84","75.502,00","1,00",Unione Europea,-,EUR
CHF,CHF/EUR,Liquidità e/o derivati,FX,"-23,48",0.0,"-23,48","33.463,00","1,00",Unione Europea,-,EUR
NZD,NZD/EUR,Liquidità e/o derivati,FX,"-17,76",0.0,"-17,76","55.379,00","1,00",Unione Europea,-,EUR
PLN,PLN/EUR,Liquidità e/o derivati,FX,"-14,40",0.0,"-14,40","180.828,00","1,00",Unione Europea,-,EUR
CHF,CHF/EUR,Liquidità e/o derivati,FX,"-11,74",0.0,"-11,74","16.731,00","1,00",Unione Europea,-,EUR
NZD,NZD/EUR,Liquidità e/o derivati,FX,"-8,88",0.0,"-8,88","27.689,00","1,00",Unione Europea,-,EUR
PLN,PLN/EUR,Liquidità e/o derivati,FX,"-7,20",0.0,"-7,20","90.414,00","1,00",Unione Europea,-,EUR
DKK,DKK/EUR,Liquidità e/o derivati,FX,"-2,57",0.0,"-2,57","626.940,00","1,00",Unione Europea,-,EUR
DKK,DKK/EUR,Liquidità e/o derivati,FX,"-1,28",0.0,"-1,28","313.470,00","1,00",Unione Europea,-,EUR
JPY,JPY/EUR,Liquidità e/o derivati,FX,"10,17",0.0,"10,17","13.701.860,00","1,00",Unione Europea,-,EUR
JPY,JPY/EUR,Liquidità e/o derivati,FX,"20,35",0.0,"20,35","27.403.720,00","1,00",Unione Europea,-,EUR
SEK,SEK/EUR,Liquidità e/o derivati,FX,"49,36",0.0,"49,36","178.682,00","1,00",Unione Europea,-,EUR
SEK,SEK/EUR,Liquidità e/o derivati,FX,"98,71",0.0,"98,71","357.365,00","1,00",Unione Europea,-,EUR
NOK,NOK/EUR,Liquidità e/o derivati,FX,"125,80",0.0,"125,80","360.989,00","1,00",Unione Europea,-,EUR
ZSSU5,MSCI HONG KONG INDEX SEP 25,Liquidità e/o derivati,Futures,"0,00",0.0,"4.241.389,32","67,00","63.304,32",-,Eurex Deutschland,USD
HWAU5,MICRO EMINI S&P 500 SEP 25,Liquidità e/o derivati,Futures,"0,00",0.0,"4.785.809,23","173,00","5.532,73",-,Index And Options Market,USD
XPU5,SPI 200 SEP 25,Liquidità e/o derivati,Futures,"0,00",0.0,"6.059.454,55","49,00","4.946,50",-,Asx - Trade24,AUD
SDIU5,EURO STOXX SELDIV 30 FUTURE SEP 25,Liquidità e/o derivati,Futures,"0,00",0.0,"15.397.510,00","718,00","2.144,50",-,Eurex Deutschland,EUR
GBP,GBP/EUR,Liquidità e/o derivati,FX,"-399,86",0.0,"-399,86","230.895,00","1,00",Unione Europea,-,EUR
SGD,SGD/EUR,Liquidità e/o derivati,FX,"-265,28",0.0,"-265,28","150.778,00","1,00",Unione Europea,-,EUR
GBP,GBP/EUR,Liquidità e/o derivati,FX,"-199,93",0.0,"-199,93","115.447,00","1,00",Unione Europea,-,EUR
HKD,HKD/EUR,Liquidità e/o derivati,FX,"-1.888,06",0.0,"-1.888,06","1.982.270,00","1,00",Unione Europea,-,EUR
NOK,NOK CASH,Liquidità e/o derivati,Contanti,"-2.638,20",0.0,"-2.638,20","-31.090,00","8,49",Norvegia,-,NOK
HKD,HKD/EUR,Liquidità e/o derivati,FX,"-3.776,12",0.0,"-3.776,12","3.964.540,00","1,00",Unione Europea,-,EUR
USD,USD/EUR,Liquidità e/o derivati,FX,"-4.008,49",0.0,"-4.008,49","541.382,00","1,00",Unione Europea,-,EUR
DKK,DKK CASH,Liquidità e/o derivati,Contanti,"-10.224,23",0.0,"-10.224,23","-76.322,00","13,40",Danimarca,-,DKK
