Unnamed: 0,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
671,WPP PLC,JE00B8KF9B49,United Kingdom,GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Communication Services,0.0002603266
672,DEUTSCHE LUFTHANSA REG,DE0008232125,Germany,EUR,XETRA,Equity,Ba1,DAX Index,Industrials,0.0002580701
673,YANGZIJIANG SHIPBUILDING,SG1U76934819,China,SGD,-,Equity,-,-,Industrials,0.0002559438
674,GJENSIDIGE FORSIKRING ASA,NO0010582521,Norway,NOK,Oslo Stock Exchange,Equity,A2,Oslo SE All-share Index,Financials,0.0002550308
675,EMS CHEMIE HOLDING AG REG,CH0016440353,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Materials,0.000253745
676,ELIA GROUP SA/NV,BE0003822393,Belgium,EUR,Euronext Brussels,Equity,A3,BEL 20 Index,Utilities,0.0002534338
677,ORSTED A/S,DK0060094928,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Utilities,0.0002520364
678,HIKARI TSUSHIN INC,JP3783420007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0002517435
679,MTR CORP,HK0066009694,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Industrials,0.0002506573
680,SODEXO SA,FR0000121220,France,EUR,Euronext Paris,Equity,A3,CAC 40 Index,Consumer Discretionary,0.0002490716
681,IDEMITSU KOSAN CO LTD,JP3142500002,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Energy,0.0002479701
682,QANTAS AIRWAYS LTD,AU000000QAN2,Australia,AUD,Australian Stock Exchange,Equity,Ba2,ASX All Ordinaries Index,Industrials,0.0002464828
683,LAND SECURITIES GROUP PLC,GB00BYW0PQ60,United Kingdom,GBP,-,Real Estate Investment Trust,-,-,Real Estate,0.0002455393
684,JAPAN POST INSURANCE CO LTD,JP3233250004,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Financials,0.0002446594
685,KAWASAKI KISEN KAISHA LTD,JP3223800008,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0002443424
686,BAYERISCHE MOTOREN WERKE PRF,DE0005190037,Germany,EUR,XETRA,Preferred Stock,-,DAX Index,Consumer Discretionary,0.0002418924
687,SWATCH GROUP AG/THE BR,CH0012255151,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Consumer Discretionary,0.0002394524
688,RICOH CO LTD,JP3973400009,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Information Technology,0.0002389488
689,NISSAN MOTOR CO LTD,JP3672400003,Japan,JPY,Tokyo Stock Exchange,Equity,Baa1,TOPIX Index,Consumer Discretionary,0.0002389235
690,DELIVERY HERO SE,DE000A2E4K43,Germany,EUR,XETRA,Equity,-,DAX Index,Consumer Discretionary,0.0002368798
691,JDE PEET S NV,NL0014332678,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Consumer Staples,0.0002366257
692,RANDSTAD NV,NL0000379121,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Industrials,0.0002356652
693,FASTIGHETS AB BALDER B SHRS,SE0017832488,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Real Estate,0.000234069
694,SITC INTERNATIONAL HOLDINGS,KYG8187G1055,Hong Kong,HKD,-,Equity,-,-,Industrials,0.0002338642
695,IPSEN,FR0010259150,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Health Care,0.0002337334
696,AVOLTA AG,CH0023405456,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Consumer Discretionary,0.0002308602
697,EVONIK INDUSTRIES AG,DE000EVNK013,Germany,EUR,XETRA,Equity,Baa2,DAX Index,Materials,0.0002293662
698,EMPIRE CO LTD  A,CA2918434077,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Consumer Staples,0.0002291623
699,ACCIONA SA,ES0125220311,Spain,EUR,Mercado Continuo Espana,Equity,-,IBEX 35 Index,Utilities,0.0002290147
700,SIG GROUP AG,CH0435377954,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Materials,0.0002279573
701,CAPITALAND INVESTMENT LTD/SI,SGXE62145532,Singapore,SGD,-,Equity,-,-,Real Estate,0.000226342
702,VERBUND AG,AT0000746409,Austria,EUR,Vienna Stock Exchange,Equity,Baa1,Austrian Traded Index,Utilities,0.0002263308
703,MEIJI HOLDINGS CO LTD,JP3918000005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Staples,0.0002259521
704,SOFINA,BE0003717312,Belgium,EUR,Euronext Brussels,Equity,-,BEL 20 Index,Financials,0.0002244957
705,TEMENOS AG   REG,CH0012453913,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Information Technology,0.0002240943
706,HULIC CO LTD,JP3360800001,Japan,JPY,Tokyo Stock Exchange,Equity,B1,TOPIX Index,Real Estate,0.0002211976
707,ADP,FR0010340141,France,EUR,Euronext Paris,Equity,A1,CAC 40 Index,Industrials,0.0002203959
708,SAGAX AB B,SE0005127818,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Real Estate,0.0002200838
709,CONTACT ENERGY LTD,NZCENE0001S6,New Zealand,NZD,New Zealand Exchange,Equity,-,-,Utilities,0.0002196688
710,BARRY CALLEBAUT AG REG,CH0009002962,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Consumer Staples,0.0002183332
711,AMUNDI SA,FR0004125920,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Financials,0.0002175951
712,OTSUKA CORP,JP3188200004,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0002156961
713,SCSK CORP,JP3400400002,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0002153081
714,ICL GROUP LTD,IL0002810146,Israel,ILS,-,Equity,-,-,Materials,0.0002143485
715,GECINA SA,FR0010040865,France,EUR,Euronext Paris,Real Estate Investment Trust,Baa2,CAC 40 Index,Real Estate,0.000214325
716,DAVIDE CAMPARI MILANO NV,NL0015435975,Italy,EUR,-,Equity,-,-,Consumer Staples,0.0002142789
717,INDUSTRIVARDEN AB,SE0000190126,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Financials,0.0002134402
718,D IETEREN GROUP,BE0974259880,Belgium,EUR,Euronext Brussels,Equity,-,BEL 20 Index,Consumer Discretionary,0.0002129765
719,BROOKFIELD RENEWABLE CORP,CA11285B1085,United States,CAD,-,Equity,-,-,Utilities,0.0002101261
720,TELEPERFORMANCE,FR0000051807,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Industrials,0.000209209
721,QUEBECOR INC   CL B,CA7481932084,Canada,CAD,Toronto Stock Exchange,Equity,B1,S&P/TSX COMPOSITE Index,Communication Services,0.0002064691
722,HENDERSON LAND DEVELOPMENT,HK0012000102,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Real Estate,0.0002054518
723,CRODA INTERNATIONAL PLC,GB00BJFFLV09,United Kingdom,GBP,-,Equity,-,-,Materials,0.0002037849
724,BKW AG,CH0130293662,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Utilities,0.0002036948
725,WHARF REAL ESTATE INVESTMENT,KYG9593A1040,Hong Kong,HKD,-,Equity,-,-,Real Estate,0.0002024753
726,BANCA MEDIOLANUM SPA,IT0004776628,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Financials,0.0002021777
727,WILMAR INTERNATIONAL LTD,SG1T56930848,Singapore,SGD,-,Equity,-,-,Consumer Staples,0.0002014173
728,OMRON CORP,JP3197800000,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Information Technology,0.0001998074
729,MONOTARO CO LTD,JP3922950005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0001967391
730,YAKULT HONSHA CO LTD,JP3931600005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Staples,0.0001947571
731,KOBE BUSSAN CO LTD,JP3291200008,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Staples,0.0001942427
732,SUNTORY BEVERAGE + FOOD LTD,JP3336560002,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Staples,0.000194209
733,CVC CAPITAL PARTNERS PLC,JE00BRX98089,Luxembourg,EUR,-,Equity,-,-,unknown,0.0001941458
734,MERIDIAN ENERGY LTD,NZMELE0002S7,New Zealand,NZD,New Zealand Exchange,Equity,-,-,Utilities,0.0001936377
735,KYOWA KIRIN CO LTD,JP3256000005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Health Care,0.0001925011
736,GRIFOLS SA,ES0171996087,Spain,EUR,Mercado Continuo Espana,Equity,-,IBEX 35 Index,Health Care,0.0001920851
737,HOSHIZAKI CORP,JP3845770001,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.000189262
738,BOLLORE SE,FR0000039299,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Communication Services,0.000188929
739,WEST FRASER TIMBER CO LTD,CA9528451052,Canada,CAD,Toronto Stock Exchange,Equity,Baa3,S&P/TSX COMPOSITE Index,Materials,0.0001880323
740,ONO PHARMACEUTICAL CO LTD,JP3197600004,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Health Care,0.0001874205
741,ARKEMA,FR0010313833,France,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Materials,0.000187365
742,SEMBCORP INDUSTRIES LTD,SG1R50925390,Singapore,SGD,-,Equity,-,-,Utilities,0.0001853244
743,ORACLE CORP JAPAN,JP3689500001,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.00018426
744,HIKMA PHARMACEUTICALS PLC,GB00B0LCW083,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Health Care,0.0001831076
745,AZRIELI GROUP LTD,IL0011194789,Israel,ILS,-,Equity,-,-,Real Estate,0.0001788415
746,ZOZO INC,JP3399310006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0001776647
747,FDJ UNITED,FR0013451333,France,EUR,-,Equity,-,-,Consumer Discretionary,0.0001762785
748,LUNDBERGS AB B SHS,SE0000108847,Sweden,SEK,Stockholm Stock Exchange,Equity,A1,OMX Stockholm 30 Index,Financials,0.0001758227
749,EDP RENOVAVEIS SA,ES0127797019,Spain,EUR,Euronext Lisbon,Equity,B1,PSI 20 Index,Utilities,0.0001753046
750,SCHRODERS PLC,GB00BP9LHF23,United Kingdom,GBP,-,Equity,-,-,Financials,0.0001741603
751,INVESTMENT AB LATOUR B SHS,SE0010100958,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Industrials,0.0001734981
752,CK INFRASTRUCTURE HOLDINGS L,BMG2178K1009,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Utilities,0.0001720501
753,COVIVIO,FR0000064578,France,EUR,Euronext Paris,Real Estate Investment Trust,Baa3,CAC 40 Index,Real Estate,0.0001719191
754,LOTUS BAKERIES,BE0003604155,Belgium,EUR,Euronext Brussels,Equity,-,BEL 20 Index,Consumer Staples,0.0001690138
755,RATIONAL AG,DE0007010803,Germany,EUR,XETRA,Equity,-,DAX Index,Industrials,0.0001690129
756,DENTSU GROUP INC,JP3551520004,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Communication Services,0.0001673757
757,NISSIN FOODS HOLDINGS CO LTD,JP3675600005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Staples,0.000166635
758,ROCKWOOL A/S B SHS,DK0063855168,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,-,Industrials,0.0001657318
759,SG HOLDINGS CO LTD,JP3162770006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0001640414
760,CANADIAN UTILITIES LTD A,CA1367178326,Canada,CAD,Toronto Stock Exchange,Equity,A2,S&P/TSX COMPOSITE Index,Utilities,0.0001639217
761,SINO LAND CO,HK0083000502,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Real Estate,0.000160619
762,BANQUE CANTONALE VAUDOIS REG,CH0531751755,Switzerland,CHF,-,Equity,-,Swiss Market Index,Financials,0.0001593525
763,DEMANT A/S,DK0060738599,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Health Care,0.0001577691
764,GENTING SINGAPORE LTD,SGXE21576413,Singapore,SGD,-,Equity,-,-,Consumer Discretionary,0.0001550898
765,INFRASTRUTTURE WIRELESS ITAL,IT0005090300,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Communication Services,0.0001547681
766,INPOST SA,LU2290522684,Poland,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Industrials,0.0001540055
767,TOKYO METRO CO LTD,JP3583900000,Japan,JPY,-,Equity,-,-,Industrials,0.0001535383
768,SALMAR ASA,NO0010310956,Norway,NOK,Oslo Stock Exchange,Equity,-,Oslo SE All-share Index,Consumer Staples,0.0001455119
769,JD SPORTS FASHION PLC,GB00BM8Q5M07,United Kingdom,GBP,-,Equity,-,-,Consumer Discretionary,0.0001450229
770,ANA HOLDINGS INC,JP3429800000,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0001445836
771,NEXI SPA,IT0005366767,Italy,EUR,-,Equity,-,-,Financials,0.0001439578
772,JAPAN AIRLINES CO LTD,JP3705200008,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0001383218
773,HOLMEN AB B SHARES,SE0011090018,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Materials,0.0001363609
774,IGM FINANCIAL INC,CA4495861060,Canada,CAD,Toronto Stock Exchange,Equity,A1,S&P/TSX COMPOSITE Index,Financials,0.000130848
775,WHARF HOLDINGS LTD,HK0004000045,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Real Estate,0.0001220273
776,EURAZEO SE,FR0000121121,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Financials,0.0001192054
777,SWIRE PACIFIC LTD   CL A,HK0019000162,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Industrials,0.0001165755
778,DIASORIN SPA,IT0003492391,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Health Care,0.0001009993
779,DANISH KRONE,_CURRENCYDKK,Denmark,DKK,-,Cash,-,-,unknown,0.0001002879
780,SINGAPORE DOLLAR,_CURRENCYSGD,Singapore,SGD,-,Cash,-,-,unknown,9.22203e-05
781,REECE LTD,AU000000REH4,Australia,AUD,-,Equity,-,-,Industrials,9.15003e-05
782,BCE INC,CA05534B7604,Canada,CAD,Toronto Stock Exchange,Equity,Baa2,S&P/TSX COMPOSITE Index,Communication Services,8.21392e-05
783,EURO CURRENCY,_CURRENCYEUR,-,EUR,-,Cash,-,-,unknown,7.58477e-05
784,NORWEGIAN KRONE,_CURRENCYNOK,Norway,NOK,-,Cash,-,-,unknown,5.25267e-05
785,SWEDISH KRONA,_CURRENCYSEK,Sweden,SEK,-,Cash,-,-,unknown,4.90799e-05
786,NEW ZEALAND DOLLAR,_CURRENCYNZD,New Zealand,NZD,-,Cash,-,-,unknown,4.73823e-05
787,NEW ISRAELI SHEQEL,_CURRENCYILS,Israel,ILS,-,Cash,-,-,unknown,4.70391e-05
788,SWISS FRANC,_CURRENCYCHF,Switzerland,CHF,-,Cash,-,-,unknown,4.4659e-05
789,HONG KONG DOLLAR,_CURRENCYHKD,Hong Kong,HKD,-,Cash,-,-,unknown,2.34302e-05
790,JAPANESE YEN,_CURRENCYJPY,Japan,JPY,-,Cash,-,-,unknown,1.80596e-05
791,POUND STERLING,_CURRENCYGBP,United Kingdom,GBP,-,Cash,-,-,unknown,6.6543e-06
792,AUSTRALIAN DOLLAR,_CURRENCYAUD,Australia,AUD,-,Cash,-,-,unknown,2.0532e-06
793,TELECOM ITALIA DIR OPZ AZ ORD,IT0005664815,Italy,EUR,-,Right,-,-,unknown,8.5e-09
796,CANADIAN DOLLAR,_CURRENCYCAD,Canada,CAD,-,Cash,-,-,unknown,-0.0003352744
