Unnamed: 0,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
354,SCHINDLER HOLDING PART CERT,CH0024638196,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Industrials,0.0007046137
355,NIPPON YUSEN KK,JP3753000003,Japan,JPY,Tokyo Stock Exchange,Equity,Baa2,TOPIX Index,Industrials,0.0007029281
356,LOGITECH INTERNATIONAL SA,CH0025751329,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Information Technology,0.0007009515
357,KERRY GROUP PLC A,IE0004906560,Ireland,EUR,Irish Stock Exchange,Equity,Baa2,ISEQ Irish Overall Index,Consumer Staples,0.0006996972
358,BPER BANCA SPA,IT0000066123,Italy,EUR,Milan Stock Exchange,Equity,Ba2,FTSE Italia All-Share Index,Financials,0.000699531
359,IMPERIAL OIL LTD,CA4530384086,Canada,CAD,Toronto Stock Exchange,Equity,Aaa,S&P/TSX COMPOSITE Index,Energy,0.0006947258
360,NOMURA RESEARCH INSTITUTE LT,JP3762800005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0006945904
361,SMITH + NEPHEW PLC,GB0009223206,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Health Care,0.0006936436
362,SUNCORP GROUP LTD,AU000000SUN6,Australia,AUD,Australian Stock Exchange,Equity,A2,ASX All Ordinaries Index,Financials,0.0006854707
363,JULIUS BAER GROUP LTD,CH0102484968,Switzerland,CHF,Scoach Switzerland,Equity,A2,Swiss Market Index,Financials,0.0006846589
364,BANK OF IRELAND GROUP PLC,IE00BD1RP616,Ireland,EUR,-,Equity,-,-,Financials,0.0006810084
365,METRO INC/CN,CA59162N1096,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Consumer Staples,0.0006755893
366,SONOVA HOLDING AG REG,CH0012549785,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Health Care,0.0006635714
367,TOURMALINE OIL CORP,CA89156V1067,Canada,CAD,Toronto Stock Exchange,Equity,B1,S&P/TSX COMPOSITE Index,Energy,0.0006581885
368,HENKEL AG + CO KGAA VOR PREF,DE0006048432,Germany,EUR,XETRA,Preferred Stock,A2,DAX Index,Consumer Staples,0.0006556257
369,WISETECH GLOBAL LTD,AU000000WTC3,Australia,AUD,-,Equity,-,-,Information Technology,0.000654475
370,SAGE GROUP PLC/THE,GB00B8C3BL03,United Kingdom,GBP,London Stock Exchange,Equity,B1,FTSE 100 Index,Information Technology,0.0006542956
371,ORIGIN ENERGY LTD,AU000000ORG5,Australia,AUD,Australian Stock Exchange,Equity,Baa2,ASX All Ordinaries Index,Utilities,0.0006528337
372,INPEX CORP,JP3294460005,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Energy,0.0006521083
373,WARTSILA OYJ ABP,FI0009003727,Finland,EUR,Helsinki Stock Exchange,Equity,-,OMX Helsinki Index,Industrials,0.0006450876
374,PAN PACIFIC INTERNATIONAL HO,JP3639650005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0006414665
375,TERNA RETE ELETTRICA NAZIONA,IT0003242622,Italy,EUR,Milan Stock Exchange,Equity,Baa1,FTSE Italia All-Share Index,Utilities,0.0006411967
376,ACS ACTIVIDADES CONS Y SERV,ES0167050915,Spain,EUR,Mercado Continuo Espana,Equity,-,IBEX 35 Index,Industrials,0.0006397886
